id_cliente;nombre;sexo;fecha_nacimiento;distrito;region;fecha_alta;segmento_programa
23;ANASTASIA CARRANZA VELÁSQUEZ;F;1992-08-11;Santiago de Surco;Lima;2024-01-01;Bronce
24;EDUARDO CHÁVEZ ALLCCA;M;1994-08-15;Arequipa;Arequipa;2024-01-01;Bronce
25;Teodosia Cornejo Vargas;F;1978-02-11;Sullana;Piura;2024-01-01;Bronce
26;Mercedes Medina Valenzuela;F;1994-05-26;Castilla;Piura;2024-01-01;Bronce
27;Fortunato Zambrano Ríos;M;1987-06-19;Ate;Lima;2024-01-01;No afiliado
28;Marisol Valverde Coronado;F;2004-06-15;Chiclayo;Lambayeque;2024-01-01;Bronce
29;Eugenia Benavides Velarde;F;2003-09-15;San Juan Bautista;Loreto;2024-01-01;No afiliado
30;Raúl Montes Montes;M;1980-05-07;Veintiséis de Octubre;Piura;2024-01-01;Plata
31;Héctor Vargas Moreno;M;1990-03-31;Villa El Salvador;Lima;2024-01-01;No afiliado
32;MARGARITA PIZARRO TRUJILLO;F;1997-04-18;Nauta;Loreto;2024-01-01;Bronce
33;Ignacio Ulloa Escobar;M;1996-02-10;Trujillo;La Libertad;2024-01-01;No afiliado
34;Micaela Ugarte Rosales;F;1980-12-25;San Juan de Lurigancho;Lima;2024-01-01;Oro
35;Margarita Reyna Galarza;F;2000-12-26;Belén;Loreto;2024-01-01;No afiliado
36;Gabriela Dávila Valle;F;1985-04-13;Moche;La Libertad;2024-01-01;No afiliado
37;Eduardo Torrico Valenzuela;M;1958-02-14;Iquitos;Loreto;2024-01-01;No afiliado
38;Felicidad Requejo Trujillo;F;1981-05-29;Chiclayo;Lambayeque;2024-01-01;Oro
39;Lucrecia Montes Zavala;F;1999-04-28;Paucarpata;Arequipa;2024-01-01;No afiliado
40;azucena portilla machuca;F;2007-09-23;Paita;Piura;2024-01-01;No afiliado
41;EVA VILCA ROJAS;F;1982-09-11;Comas;Lima;2024-01-01;Oro
42;Alonso Pizarro Manrique;M;1989-04-13;Socabaya;Arequipa;2024-01-01;No afiliado
43;Elsa Benites Chacón;F;1972-09-11;Veintiséis de Octubre;Piura;2024-01-01;Bronce
44;ARIADNA ARROYO VILLAFUERTE;F;1993-04-21;Jesús María;Lima;2024-01-01;No afiliado
45;SALVADOR VARGAS VALLE;M;1959-08-14;San Juan de Lurigancho;Lima;2024-01-01;Bronce
46;fátima vásquez conde;F;1978-03-17;Trujillo;La Libertad;2024-01-02;Plata
47;Patricia Farro Valverde;F;1970-06-05;San Juan de Lurigancho;Lima;2024-01-02;Plata
48;Trinidad Bravo Velásquez;F;1987-03-16;Sullana;Piura;2024-01-02;Plata
49;Eustaquio Chambi Sánchez;M;1991-02-07;Castilla;Piura;2024-01-02;Bronce
50;Isidoro Vargas Guerrero;M;1975-08-29;Los Olivos;Lima;2024-01-02;Bronce
51;encarnación chávez domínguez;F;1990-01-03;Villa El Salvador;Lima;2024-01-02;Bronce
52;Teodosia Calderón García;F;1978-08-30;San Martín de Porres;Lima;2024-01-02;Bronce
53;aarón sierra vargas;M;1986-12-29;San Juan de Lurigancho;Lima;2024-01-02;No afiliado
54;Alejandro Del Carpio Paz;M;2003-03-24;Castilla;Piura;2024-01-02;No afiliado
55;Onésimo Calderón Arango;M;1965-07-25;Trujillo;La Libertad;2024-01-02;No afiliado
56;BLANCA ESCOBAR GÓMEZ;F;1986-08-05;Ate;Lima;2024-01-02;Bronce
57;estefanía hurtado delgado;F;1945-07-06;Chiclayo;Lambayeque;2024-01-02;No afiliado
58;PANCHO VALENZUELA VILLAFUERTE;M;1976-06-30;San Juan de Lurigancho;Lima;2024-01-02;Oro
59;Mercedes Lozano García;F;1982-03-26;Santiago;Cusco;2024-01-02;Bronce
60;Tamara Tejada Arias;F;1985-02-03;Ate;Lima;2024-01-02;Bronce
61;DANTE GALLO MATÍAS;M;1983-06-09;San Juan de Lurigancho;Lima;2024-01-02;Bronce
62;ANABEL GALARZA ESCALANTE;F;1973-08-11;San Sebastián;Cusco;2024-01-02;Plata
63;eduardo rosales cabello;M;1991-11-10;Cerro Colorado;Arequipa;2024-01-02;No afiliado
64;Tomasa González Reyna;F;1997-07-23;San Sebastián;Cusco;2024-01-02;No afiliado
65;Emilia Estrella Jara;F;1979-10-24;Socabaya;Arequipa;2024-01-02;Bronce
66;gabriela pizarro garcía;F;1982-01-07;Miraflores;Lima;2024-01-02;Bronce
67;Alfonso Torres Miranda;M;1993-08-06;La Esperanza;La Libertad;2024-01-02;Plata
68;Elisa Cruz Cruz;F;1999-12-15;Víctor Larco Herrera;La Libertad;2024-01-02;Plata
69;Arantxa Chávez Gallo;F;1980-01-26;Villa El Salvador;Lima;2024-01-02;Bronce
70;Alcides Sánchez Tejada;M;1984-02-28;San Miguel;Lima;2024-01-02;Oro
71;raúl mendoza mora;M;1953-04-30;San Miguel;Lima;2024-01-02;No afiliado
72;Eufemia Vilchez Sánchez;F;1983-07-03;Punchana;Loreto;2024-01-02;Bronce
73;Maximiliano Lozano Pizarro;M;2004-11-14;San Sebastián;Cusco;2024-01-02;Plata
74;Ulises Llerena Maldonado;M;1976-11-15;El Tambo;Junín;2024-01-02;No afiliado
75;María Yañez Ponce;F;1971-02-24;Piura;Piura;2024-01-02;No afiliado
76;FAUSTINO VILLALOBOS ROJAS;M;1950-02-25;San Martín de Porres;Lima;2024-01-02;Oro
77;Ulises Merino Solano;M;1978-09-11;Punchana;Loreto;2024-01-02;No afiliado
78;SALUD RIVEROS JIMÉNEZ;F;1972-02-08;Ate;Lima;2024-01-02;Bronce
79;guido ponce chacón;M;1984-04-20;El Porvenir;La Libertad;2024-01-02;No afiliado
80;margarita campos solano;F;1953-03-10;Sullana;Piura;2024-01-02;Oro
81;Isidora Rivera Salazar;F;2004-07-06;San Martín de Porres;Lima;2024-01-02;Bronce
82;Marcelina Gálvez Campos;F;1954-09-06;Víctor Larco Herrera;La Libertad;2024-01-02;Bronce
83;Rafael Paredes Rivera;M;1959-10-17;Trujillo;La Libertad;2024-01-02;No afiliado
84;Lucía Calderón Ramírez;F;1999-08-30;Veintiséis de Octubre;Piura;2024-01-02;Plata
85;Ponciano Llerena Ortega;M;1990-05-10;La Esperanza;La Libertad;2024-01-02;No afiliado
86;emmanuel bello vásquez;M;1999-10-07;Lima;Lima;2024-01-02;Bronce
87;Celia Callirgos Rocha;F;1955-04-01;Los Olivos;Lima;2024-01-02;Bronce
88;Salud Cabello García;F;2003-09-21;San Juan de Lurigancho;Lima;2024-01-02;Bronce
89;Erik Moreno Rodríguez;M;1959-09-14;La Esperanza;La Libertad;2024-01-02;Oro
90;Froilán Paredes Ponce;M;1988-02-09;San Borja;Lima;2024-01-02;Bronce
91;Remedios Villalobos Loayza;F;1980-11-01;José Luis Bustamante y Rivero;Arequipa;2024-01-03;Bronce
92;esteban valverde ortega;M;1978-05-26;Cerro Colorado;Arequipa;2024-01-03;Bronce
93;Hugo Pérez Ortega;M;2003-05-05;Lima;Lima;2024-01-03;Bronce
94;Aniceto Sánchez Villafuerte;M;2001-04-14;San Juan de Lurigancho;Lima;2024-01-03;Bronce
95;Néstor Medina Sanabria;M;2006-10-11;Villa El Salvador;Lima;2024-01-03;Plata
96;Cornelio Rivera Requejo;M;1988-03-09;Iquitos;Loreto;2024-01-03;No afiliado
97;Salustiano Matías Campos;M;1979-03-05;San Juan de Lurigancho;Lima;2024-01-03;Bronce
98;josefa martínez valle;F;2002-10-29;Pilcomayo;Junín;2024-01-03;Bronce
99;onésimo torres peralta;M;1979-08-10;La Esperanza;La Libertad;2024-01-03;No afiliado
100;Salustiano Estrella Montes;M;1989-01-03;Santiago de Surco;Lima;2024-01-03;No afiliado
101;Gisela Campos Guerrero;F;1953-12-02;San Martín de Porres;Lima;2024-01-03;Oro
102;Damián Paredes Villafuerte;M;1949-04-17;Cerro Colorado;Arequipa;2024-01-03;No afiliado
103;Cecilia Cornejo Medina;F;1982-10-29;Iquitos;Loreto;2024-01-03;Plata
104;Agustina Bello Pizarro;F;1954-10-01;Ate;Lima;2024-01-03;No afiliado
105;Patricio Bustos Cabello;M;2000-07-23;Ate;Lima;2024-01-03;Plata
106;Abel Arroyo Cabello;M;1978-03-25;San Sebastián;Cusco;2024-01-03;No afiliado
107;APOLONIO SANABRIA ARIAS;M;1950-01-12;Cerro Colorado;Arequipa;2024-01-03;Plata
108;Eutiquio Valverde Allcca;M;2007-07-28;Chiclayo;Lambayeque;2024-01-03;No afiliado
109;susana carranza alvarado;F;1997-03-24;Punchana;Loreto;2024-01-03;Plata
110;Andrea Zeballos Villafuerte;F;1994-11-27;San Juan de Lurigancho;Lima;2024-01-03;Plata
111;BAUTISTA RÍOS DEL CARPIO;M;2005-05-29;Castilla;Piura;2024-01-03;No afiliado
112;LEONOR ARIAS VALENZUELA;F;1994-06-10;Piura;Piura;2024-01-03;Plata
113;CEFERINO MERINO VALVERDE;M;1999-06-18;Moche;La Libertad;2024-01-03;No afiliado
114;Gisela Portilla Villalba;F;1999-02-07;Catacaos;Piura;2024-01-03;Plata
115;CATALINA CAMPOS DELGADO;F;1981-11-11;Santiago de Surco;Lima;2024-01-03;Bronce
116;Erik García Quijano;M;1963-06-12;Piura;Piura;2024-01-03;Plata
117;Amelia Salgado Maldonado;F;1995-04-18;Paita;Piura;2024-01-03;Bronce
118;Fátima Reyna Vilchez;F;2003-06-17;Piura;Piura;2024-01-03;No afiliado
119;Filomena Portilla Campos;F;1999-01-24;Comas;Lima;2024-01-03;Oro
120;ISAAC MONTERO MEDINA;M;1963-07-05;San Juan de Lurigancho;Lima;2024-01-03;Bronce
121;Agustín Pizarro Tello;M;1991-01-24;El Porvenir;La Libertad;2024-01-03;Plata
122;Cornelio Dávila Gutiérrez;M;2006-01-03;El Porvenir;La Libertad;2024-01-03;Bronce
123;Ángel Maldonado Santos;M;1977-05-01;Yanahuara;Arequipa;2024-01-03;Bronce
124;Leonor Gálvez Rivera;F;1974-05-29;San Juan de Lurigancho;Lima;2024-01-03;Plata
125;Sol Galarza Aguirre;F;1970-06-06;San Juan de Lurigancho;Lima;2024-01-03;No afiliado
126;Edmundo Ugarte Domínguez;M;1980-07-03;Santiago de Surco;Lima;2024-01-03;No afiliado
127;Fortunato Quijano Matías;M;1982-09-08;Veintiséis de Octubre;Piura;2024-01-03;Bronce
128;FLORENCIO PERALTA SANABRIA;M;1998-11-25;San Sebastián;Cusco;2024-01-03;Bronce
129;Elisa Ugarte García;F;1979-05-07;San Juan de Lurigancho;Lima;2024-01-03;No afiliado
130;CANDELARIA ACUÑA CHÁVEZ;F;1950-04-02;Santiago de Surco;Lima;2024-01-03;No afiliado
131;Eugenio Luna Pizarro;M;1991-02-25;Florencia de Mora;La Libertad;2024-01-03;No afiliado
132;Heriberto Dávila Palomino;M;1990-12-25;Sapallanga;Junín;2024-01-03;No afiliado
133;Cornelio Vilchez Paredes;M;1998-09-08;Cayma;Arequipa;2024-01-03;Plata
134;Gisela Domínguez Alvarado;F;1989-06-12;San Juan de Lurigancho;Lima;2024-01-03;No afiliado
135;Baltasar Zapata Quispe;M;1984-10-28;Castilla;Piura;2024-01-03;Bronce
136;Aurora Vargas Calderón;F;2004-07-03;Veintiséis de Octubre;Piura;2024-01-04;Bronce
137;ROBERTO HERNÁNDEZ RIVERA;M;1987-03-24;San Juan de Lurigancho;Lima;2024-01-04;Oro
138;Rubén Portilla Rivera;M;1986-09-20;Cusco;Cusco;2024-01-04;Bronce
139;Raquel Gálvez Matías;F;2002-01-14;Villa El Salvador;Lima;2024-01-04;Bronce
140;PAULINA LLANOS SÁNCHEZ;F;1999-08-17;San Juan de Lurigancho;Lima;2024-01-04;Plata
141;Raquel Matías Valverde;F;1979-05-08;Paita;Piura;2024-01-04;Bronce
142;Marisa Cornejo Valverde;F;1959-01-08;Trujillo;La Libertad;2024-01-04;No afiliado
143;PRUDENCIA PÉREZ CAMPOS;F;1969-06-05;Trujillo;La Libertad;2024-01-04;Bronce
144;Galileo Palacios Farro;M;1977-04-06;Veintiséis de Octubre;Piura;2024-01-04;Bronce
145;Zenón Padilla Lozano;M;1957-11-29;José Leonardo Ortiz;Lambayeque;2024-01-04;Bronce
146;Josefa Bello Jiménez;F;2006-06-15;Huanchaco;La Libertad;2024-01-04;Bronce
147;Adrián Peralta Velásquez;M;1988-10-25;Piura;Piura;2024-01-04;Bronce
148;Héctor Alvarado Sierra;M;1967-05-28;Piura;Piura;2024-01-04;No afiliado
149;Anastasia Campos Benites;F;1962-12-26;José Leonardo Ortiz;Lambayeque;2024-01-04;No afiliado
150;Aarón Benavides Llerena;M;2001-11-13;José Leonardo Ortiz;Lambayeque;2024-01-04;Plata
151;Sandra Vidal Serna;F;1946-03-07;San Martín de Porres;Lima;2024-01-04;Plata
152;Angustias Rosales Villafuerte;F;1961-09-27;San Juan de Lurigancho;Lima;2024-01-04;Bronce
153;Alba Jara Gálvez;F;1984-10-04;San Juan de Lurigancho;Lima;2024-01-04;No afiliado
154;GISELA MATÍAS BELLO;F;1982-12-31;La Esperanza;La Libertad;2024-01-04;Bronce
155;Estefanía Rivera Cáceres;F;1994-08-17;Castilla;Piura;2024-01-04;No afiliado
156;horacio velásquez sanabria;M;1993-05-24;San Juan de Lurigancho;Lima;2024-01-04;No afiliado
157;Ponciano Tello Manrique;M;1968-10-31;José Leonardo Ortiz;Lambayeque;2024-01-04;Bronce
158;Gisela Rojas Gallo;F;2004-07-02;Monsefú;Lambayeque;2024-01-04;Oro
159;Paulina Vásquez Campos;F;1985-12-22;Comas;Lima;2024-01-04;Plata
160;guido callirgos zambrano;M;2004-09-09;Castilla;Piura;2024-01-04;Bronce
161;Encarnación Padilla Arias;F;1984-04-29;El Tambo;Junín;2024-01-04;No afiliado
162;Rubén Cruz Vargas;M;1996-07-22;Castilla;Piura;2024-01-04;No afiliado
163;LAUREANO JARA GALARZA;M;1969-12-21;Los Olivos;Lima;2024-01-04;No afiliado
164;Ainhoa Mora Serna;F;1959-11-13;San Juan de Lurigancho;Lima;2024-01-04;Bronce
165;Nepomuceno Delgado Rojas;M;1965-06-16;Víctor Larco Herrera;La Libertad;2024-01-04;No afiliado
166;Elena Villalobos Allcca;F;1973-01-20;Trujillo;La Libertad;2024-01-04;No afiliado
167;Orestes Benites Ugarte;M;2001-11-22;San Miguel;Lima;2024-01-04;Plata
168;FEDERICO ROCHA VELÁSQUEZ;M;1986-11-17;Iquitos;Loreto;2024-01-04;No afiliado
169;Candelaria Luna Solano;F;1995-11-19;La Esperanza;La Libertad;2024-01-04;No afiliado
170;Reme Reyna Villanueva;F;1980-10-19;La Victoria;Lambayeque;2024-01-04;Plata
171;liborio carranza soto;M;1996-10-14;Belén;Loreto;2024-01-04;No afiliado
172;Felipe Jiménez Domínguez;M;2002-07-09;Belén;Loreto;2024-01-04;No afiliado
173;Braulio Cabello Torres;M;1979-10-24;Punchana;Loreto;2024-01-04;Bronce
174;Monserrat Medina Nieto;F;1977-12-10;Paucarpata;Arequipa;2024-01-04;Bronce
175;melitón valverde rosales;M;1951-10-22;San Sebastián;Cusco;2024-01-04;Bronce
176;Teofila Santos Manrique;F;1989-06-19;Wanchaq;Cusco;2024-01-04;No afiliado
177;josé rojas chávez;M;1953-11-03;Víctor Larco Herrera;La Libertad;2024-01-04;Plata
178;Fátima Ruiz Quijano;F;1976-10-06;Villa El Salvador;Lima;2024-01-04;Plata
179;andrea torres amaya;F;1968-05-11;San Juan Bautista;Loreto;2024-01-04;Plata
180;Jesús Estrella Vargas;M;1952-10-03;San Juan Bautista;Loreto;2024-01-04;No afiliado
181;paulina velásquez pacheco;F;1994-10-14;Chilca;Junín;2024-01-05;Plata
182;Homero Villanueva Aguirre;M;1973-09-21;El Porvenir;La Libertad;2024-01-05;Plata
183;lucio sierra avendaño;M;1991-12-23;Chiclayo;Lambayeque;2024-01-05;Bronce
184;Vicenta Rivera Arango;F;1995-06-25;La Esperanza;La Libertad;2024-01-05;Bronce
185;Sara Reyna Gálvez;F;1978-05-30;Trujillo;La Libertad;2024-01-05;No afiliado
186;Oscar Bravo Escobar;M;2003-04-22;San Sebastián;Cusco;2024-01-05;No afiliado
187;Mercedes Llerena Montes;F;1993-08-16;Sullana;Piura;2024-01-05;Bronce
188;Candelaria Sánchez Ulloa;F;2005-03-18;Paita;Piura;2024-01-05;Plata
189;Álvaro Hernández Trejo;M;1979-12-24;Castilla;Piura;2024-01-05;Bronce
190;Roberto Vásquez Muñiz;M;1983-11-02;Trujillo;La Libertad;2024-01-05;Plata
191;ELOY ESTRELLA CAMPOS;M;1982-10-05;José Luis Bustamante y Rivero;Arequipa;2024-01-05;No afiliado
192;Ursula Valverde Zambrano;F;1999-07-19;San Martín de Porres;Lima;2024-01-05;Bronce
193;Dorotea Cruz Quispe;F;1989-09-29;El Porvenir;La Libertad;2024-01-05;Bronce
194;Gisela Velásquez Farro;F;2001-08-09;Comas;Lima;2024-01-05;Bronce
195;Estefanía Serna Avendaño;F;1962-10-12;Castilla;Piura;2024-01-05;Bronce
196;VERÓNICA REQUEJO LOZANO;F;2006-12-29;Trujillo;La Libertad;2024-01-05;No afiliado
197;emilia delgado santos;F;1971-11-19;Iquitos;Loreto;2024-01-05;Bronce
198;Asunción Sánchez Alvarado;F;1967-07-04;Veintiséis de Octubre;Piura;2024-01-05;Oro
199;Bárbara Muñiz Araujo;F;1948-11-21;Santiago de Surco;Lima;2024-01-05;Bronce
200;Bernarda Guerrero Dávila;F;1980-02-08;Punchana;Loreto;2024-01-05;No afiliado
201;Feliciana Carranza Requejo;F;1972-04-16;San Martín de Porres;Lima;2024-01-05;No afiliado
202;gregorio villalba montoya;M;1953-01-18;Trujillo;La Libertad;2024-01-05;No afiliado
203;prudencia soto benites;F;1996-12-31;San Sebastián;Cusco;2024-01-05;No afiliado
204;rubén reyna maldonado;M;1979-03-26;Santiago de Surco;Lima;2024-01-05;No afiliado
205;Francisca Fuentes Ordoñez;F;1964-12-20;Trujillo;La Libertad;2024-01-05;No afiliado
206;Elisa Figueroa Sierra;F;1960-08-13;Jesús María;Lima;2024-01-05;No afiliado
207;Aarón Palacios Matías;M;2007-06-30;San Juan de Lurigancho;Lima;2024-01-05;Bronce
208;roberto villalobos zúñiga;M;2006-12-07;Cayma;Arequipa;2024-01-05;No afiliado
209;Dante Aguirre Reyna;M;1986-07-12;San Juan Bautista;Loreto;2024-01-05;Bronce
210;Victoria Obando Martínez;F;2001-09-04;Ate;Lima;2024-01-05;Plata
211;FORTUNATO DELGADO VIDAL;M;1968-01-28;Chilca;Junín;2024-01-05;No afiliado
212;Amelia Zambrano Villafuerte;F;1976-04-16;San Martín de Porres;Lima;2024-01-05;Bronce
213;Justo Ramírez Llanos;M;1975-05-11;San Miguel;Lima;2024-01-05;Bronce
214;Joaquín Villafuerte Valverde;M;2002-11-27;Piura;Piura;2024-01-05;Bronce
215;Clara Zambrano Vásquez;F;1970-01-29;El Porvenir;La Libertad;2024-01-05;Bronce
216;Moisés Domínguez Medina;M;1961-09-12;Los Olivos;Lima;2024-01-05;No afiliado
217;Belén Machuca Lozano;F;2004-12-24;Pimentel;Lambayeque;2024-01-05;No afiliado
218;ireneo cabello garcía;M;1974-04-28;El Porvenir;La Libertad;2024-01-05;Bronce
219;Filemón Rivera Chávez;M;1966-10-16;Wanchaq;Cusco;2024-01-05;Bronce
220;jacobo villafuerte reyna;M;1955-04-25;Cayma;Arequipa;2024-01-05;No afiliado
221;TRINIDAD NIETO TEJADA;F;1990-07-13;Chiclayo;Lambayeque;2024-01-05;No afiliado
222;Salud Guerrero Jara;F;1975-05-02;Paucarpata;Arequipa;2024-01-05;No afiliado
223;Aureliano Merino Gálvez;M;2007-05-09;San Miguel;Lima;2024-01-05;Plata
224;Casimiro Arango Cruz;M;1991-08-06;Castilla;Piura;2024-01-05;Bronce
225;Néstor Medina Rojas;M;1987-05-17;Trujillo;La Libertad;2024-01-05;No afiliado
226;Virginia Sánchez Arroyo;F;1985-10-04;San Juan Bautista;Loreto;2024-01-06;Bronce
227;Gustavo Amaya Tejada;M;1987-11-16;Cusco;Cusco;2024-01-06;Bronce
228;Blas Matías Villalobos;M;1978-07-18;Comas;Lima;2024-01-06;No afiliado
229;PANCHO PIZARRO ZAMBRANO;M;1975-02-17;San Juan de Lurigancho;Lima;2024-01-06;Bronce
230;ASUNCIÓN VÁSQUEZ CALDERÓN;F;1995-07-14;San Juan de Lurigancho;Lima;2024-01-06;No afiliado
231;Herminia Rojas Quispe;F;1976-09-27;Veintiséis de Octubre;Piura;2024-01-06;Bronce
232;TERESA VELÁSQUEZ ORDOÑEZ;F;2005-09-20;Lambayeque;Lambayeque;2024-01-06;No afiliado
233;Pedro Tejada Domínguez;M;1960-08-02;Miraflores;Lima;2024-01-06;No afiliado
234;Marcial Rosales Montero;M;1997-02-19;Piura;Piura;2024-01-06;Bronce
235;Tomasa Pacheco Aguirre;F;1989-03-05;La Esperanza;La Libertad;2024-01-06;No afiliado
236;Teresa Maldonado Calderón;F;1984-05-15;San Martín de Porres;Lima;2024-01-06;No afiliado
237;Ignacio Sánchez Reyna;M;2002-08-13;El Porvenir;La Libertad;2024-01-06;Bronce
238;lorena velásquez tejada;F;2005-09-14;Veintiséis de Octubre;Piura;2024-01-06;Bronce
239;Horacio Paredes Avendaño;M;1999-04-04;José Leonardo Ortiz;Lambayeque;2024-01-06;Bronce
240;paulina pacheco chacón;F;2006-06-05;Veintiséis de Octubre;Piura;2024-01-06;No afiliado
241;Gloria Reyna Tejada;F;1988-12-29;Miraflores;Lima;2024-01-06;Plata
242;Asunción Maldonado Delgado;F;1988-09-24;Comas;Lima;2024-01-06;Bronce
243;Olegario Chambi Trejo;M;1978-09-17;Poroy;Cusco;2024-01-06;Bronce
244;Jacobo Estrella Farro;M;1952-09-25;El Porvenir;La Libertad;2024-01-06;Bronce
245;ALFONSO DOMÍNGUEZ ZAPATA;M;1988-05-16;El Porvenir;La Libertad;2024-01-06;Bronce
246;eutiquio gallo padilla;M;1947-08-12;Ate;Lima;2024-01-06;Bronce
247;Ruperto Reyna Santos;M;1997-07-15;San Juan de Lurigancho;Lima;2024-01-06;Bronce
248;URSULA VARGAS CABELLO;F;1994-03-15;San Martín de Porres;Lima;2024-01-06;Plata
249;FILOMENA CONDE VÁSQUEZ;F;1981-02-06;Ate;Lima;2024-01-06;No afiliado
250;Blanca Ruiz Vidal;F;2003-10-22;Chiclayo;Lambayeque;2024-01-06;Bronce
251;Marcelina Tejada Vargas;F;1957-07-15;Trujillo;La Libertad;2024-01-06;No afiliado
252;Carmen Arias Reyna;F;1963-11-05;Comas;Lima;2024-01-06;Bronce
253;LOURDES VILLAFUERTE PADILLA;F;1984-07-26;Pimentel;Lambayeque;2024-01-06;Bronce
254;remedios gallo palacios;F;1984-02-07;Santiago;Cusco;2024-01-06;Plata
255;Joaquín Chávez Portilla;M;1992-03-07;Lima;Lima;2024-01-06;No afiliado
256;Vicente Valle Peralta;M;1984-11-11;Santiago de Surco;Lima;2024-01-06;Plata
257;Marcial Zapata Rocha;M;1965-04-22;San Isidro;Lima;2024-01-06;Plata
258;moisés amaya medina;M;1976-12-26;San Juan Bautista;Loreto;2024-01-06;No afiliado
259;Dorotea Villalba Escalante;F;1976-07-11;San Jerónimo;Cusco;2024-01-06;No afiliado
260;Horacio Velásquez Cruz;M;1984-08-31;Veintiséis de Octubre;Piura;2024-01-06;Bronce
261;Arturo Montalvo Solano;M;2002-09-28;Huancán;Junín;2024-01-06;No afiliado
262;AARÓN CAMPOS RODRÍGUEZ;M;2003-01-20;San Juan de Lurigancho;Lima;2024-01-06;No afiliado
263;Aníbal Sánchez Hurtado;M;1999-06-28;Santiago;Cusco;2024-01-06;No afiliado
264;Dolores Chávez Vásquez;F;1996-02-22;Arequipa;Arequipa;2024-01-06;No afiliado
265;CANDELARIA MACHUCA MERINO;F;1982-10-30;El Tambo;Junín;2024-01-06;Bronce
266;elisa gutiérrez gallo;F;1947-06-19;San Jerónimo;Cusco;2024-01-06;No afiliado
267;eduardo fuentes farro;M;2003-02-25;San Martín de Porres;Lima;2024-01-06;No afiliado
268;Guido Sánchez Tejada;M;2007-09-05;Wanchaq;Cusco;2024-01-06;No afiliado
269;Aarón Ruiz Chávez;M;1984-03-21;El Porvenir;La Libertad;2024-01-06;Bronce
270;Dorotea Rivera Manrique;F;1988-08-23;Trujillo;La Libertad;2024-01-06;Bronce
271;Romana Solano Hurtado;F;1976-05-03;Trujillo;La Libertad;2024-01-07;Bronce
272;Pedro Chávez Lozano;M;2006-08-19;Jesús María;Lima;2024-01-07;Bronce
273;MERCEDES ROSALES VILLAFUERTE;F;2003-03-06;Cayma;Arequipa;2024-01-07;No afiliado
274;José Bustos Zambrano;M;2001-12-13;Chiclayo;Lambayeque;2024-01-07;Bronce
275;Bianca Avendaño Nieto;F;1982-11-05;San Miguel;Lima;2024-01-07;Bronce
276;Marciano Cruz Peralta;M;1994-10-25;Cusco;Cusco;2024-01-07;No afiliado
277;NÉSTOR PÉREZ PORTILLA;M;1987-04-09;Santiago;Cusco;2024-01-07;No afiliado
278;ENCARNACIÓN DELGADO RIVERA;F;1999-10-28;San Juan de Lurigancho;Lima;2024-01-07;No afiliado
279;julia valverde riveros;F;1972-10-27;Cerro Colorado;Arequipa;2024-01-07;Bronce
280;gisela sierra merino;F;1970-06-24;Yurimaguas;Loreto;2024-01-07;Bronce
281;Ubaldo Bello Maldonado;M;1970-03-07;Ate;Lima;2024-01-07;Bronce
